adjektiv
adjective,advokat
lawyer,ansikte
face,april
april,armén
army,arton
eighteen,augusti
august,axel
shoulder,badrum
bathroom,banan
banana,bank
bank,barn
child,bebis
baby,ben
bone,bensin
gasoline,bibliotek
library,bil
bill,bild
image,billig
cheap,bit
piece,blad
leaf,blod
blood,blomma
flower,blå
blue,bok
book,boll
ball,botten
bottom,bra
good,bred
wide,brev
letter,bror
brother,brun
brown,bränn
burn,bröd
bread,bröllop
wedding,buss
bus,byggnad
building,byxor
pants,båt
boat,böj
bend,böjd
curved,centimeter
centimeter,chef
manager,cykel
bicycle,dag
day,dal
valley,dans
dance,dator
computer,december
december,det
it,djup
deep,dollar
dollar,domstol
court,dotter
daughter,drottning
queen,dryck
beverage,dyr
expensive,dålig
bad,död
dead,dörr
door,döv
deaf,eftermiddag
afternoon,elektronik
electronics,elva
eleven,energi
energy,ett
one,familj
family,far
father,farfar
grandfather,fartyg
ship,fattig
poor,februari
february,fem
five,femtio
fifty,femton
fifteen,ficka
pocket,film
movie,finger
finger,fjorton
fourteen,flaska
bottle,flicka
girl,flod
river,flygplats
airport,fläsk
pork,fotografera
photograph,fred
peace,fredag
friday,fru
wife,frukost
breakfast,främre
front,ful
ugly,fyra
four,fyrkant
square,fyrtio
forty,fängelse
prison,fågel
bird,fönster
window,förälder
parent,gaffel
fork,gift
marry,glas
glass,golv
floor,granne
neighbor,gris
pig,grund
shallow,gräs
grass,grå
gray,grön
green,gud
god,gul
gold,gård
farm,gåva
gift,halv
half,han
he,hand
hand,hatt
hat,hav
ocean,helvete
hell,himmel
heaven,hjärna
brain,hjärta
heart,hon
she,hotell
hotel,hud
skin,hund
dog,hundra
hundred,hus
house,huvud
head,hälsosam
healthy,häst
horse,hål
hole,hår
hair,hård
hard,hög
high,högt
loud,hör
corner,inuti
inside,ja
yes,jag
i,januari
january,jobb
job,jord
ground,juice
juice,juli
july,juni
june,kaffe
coffee,kaka
cake,kall
cold,kamera
camera,kant
edge,karta
map,katt
cat,kilogram
kilogram,kjol
skirt,klocka
clock,kläder
clothing,kniv
knife,knä
knee,ko
cow,konsonant
consonant,konst
art,konstnär
artist,kontor
office,kopp
cup,koppar
copper,kort
card,krig
war,kropp
body,kulle
hill,kung
king,kvinna
female,kväll
evening,kyckling
chicken,kyrka
church,kyss
kiss,känd
famous,kärn
nuclear,kök
kitchen,lampa
lamp,lastbil
truck,ledsen
sad,lera
clay,ljud
sound,luft
air,lukt
smell,lunch
lunch,lycklig
happy,lägenhet
apartment,läkare
doctor,läpp
lip,lärare
teacher,låg
low,lång
long,långsam
slow,låt
song,lördag
saturday,lösa
loose,maj
may,majs
corn,make
husband,man
man,manlig
male,marknadsföra
market,mars
march,mat
feed,material
material,medicin
medicine,metall
metal,meter
meter,middag
dinner,miljard
billion,miljon
million,minut
minute,mjuk
soft,mjölk
milk,mor
mother,mormor
grandmother,motor
engine,mun
mouth,mus
mouse,musik
music,mänsklig
human,måla
paint,månad
month,måndag
monday,måne
moon,mönster
pattern,mörk
dark,nacke
neck,natt
night,natur
nature,nej
no,ner
down,nio
nine,nittio
ninety,nitton
nineteen,norr
north,november
november,näsa
nose,nätverk
network,nål
needle,nötkött
beef,offer
victim,oktober
october,olja
oil,onsdag
wednesday,ost
cheese,papper
paper,pengar
money,penna
pen,person
person,pistol
gun,plan
plane,plast
plastic,plats
location,pojke
boy,polis
police,president
president,pris
price,präst
priest,punkt
dot,radio
radio,religion
religion,ren
clean,reporter
reporter,restaurang
restaurant,rik
rich,riktning
direction,ringa
ring,ris
rice,rosa
pink,rot
root,röd
red,sand
sand,se
sex,sekreterare
secretary,september
september,servitör
waiter,sex
six,sextio
sixty,sexton
sixteen,sida
page,siffra
number,sju
seven,sjuk
sick,sjukdom
disease,sjuttio
seventy,sjutton
seventeen,sjö
lake,skada
injury,sked
spoon,skjorta
shirt,skog
forest,skola
school,skor
shoes,skägg
beard,skärm
screen,skådespelare
actor,skön
beautiful,smal
narrow,smutsig
dirty,smärta
pain,snabb
fast,socker
sugar,sol
sun,soldat
soldier,sommar
summer,son
son,soppa
soup,sovrum
bedroom,spel
game,spelare
player,sport
sport,stad
city,stark
strong,sten
stone,stjärna
star,strand
beach,studerande
student,svag
weak,svart
black,syster
sister,säng
bed,säsong
season,söder
south,söndag
sunday,tabell
table,tak
ceiling,tallrik
plate,tand
tooth,te
tea,team
team,teater
theater,teknologi
technology,telefon
phone,temperatur
temperature,tidning
newspaper,tidskrift
magazine,timme
hour,tio
ten,tisdag
tuesday,tjock
thick,tjugo
twenty,tolv
twelve,topp
top,torr
dry,torsdag
thursday,transport
transportation,tre
three,trettio
thirty,tretton
thirteen,trevlig
nice,trä
wood,träd
tree,trädgård
garden,tum
inch,tung
heavy,tunga
tongue,tunn
thin,tusen
thousand,tv
television,två
two,tvål
soap,tyst
quiet,tå
toe,tåg
train,ung
young,universitet
university,upp
up,utanför
outside,utsäde
seed,vakna
wake,val
election,varm
hot,varuhus
store/shop,vecka
week,verb
verb,verktyg
tool,vetenskap
science,vi
alive,vikt
weight,vin
wind,vinge
wing,vit
white,vokal
vowel,vuxen
adult,vägg
wall,vän
friend,värld
world,ägg
egg,äktenskap
marriage,äpple
apple,ärm
arm,år
year,åtta
eight,åttio
eighty,ö
island,öl
beer,öra
ear,öster
east
